Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0003"
"1.0000","0.0318","0.0226"
"2.0000","0.0649","0.0454"
"3.0000","0.0983","0.0670"
"4.0000","0.1318","0.0861"
"5.0000","0.1650","0.1077"
"6.0000","0.1984","0.1297"
"7.0000","0.2317","0.1516"
"8.0000","0.2650","0.1730"
"9.0000","0.2985","0.1945"
"10.0000","0.3317","0.2158"
"11.0000","0.3651","0.2371"
"12.0000","0.3985","0.2583"
"13.0000","0.4318","0.2791"
"14.0000","0.4652","0.2999"
"15.0000","0.4984","0.3205"
"16.0000","0.5318","0.3409"
"17.0000","0.5652","0.3612"
"18.0000","0.5985","0.3815"
"19.0000","0.6318","0.4015"
"20.0000","0.6652","0.4215"
"21.0000","0.6986","0.4413"
"22.0000","0.7318","0.4609"
"23.0000","0.7652","0.4805"
"24.0000","0.7984","0.4998"
"25.0000","0.8317","0.5190"
"26.0000","0.8650","0.5381"
"27.0000","0.8984","0.5571"
"28.0000","0.9318","0.5760"
"29.0000","0.9650","0.5945"
"30.0000","0.9983","0.6130"
"31.0000","1.0318","0.6316"
"32.0000","1.0651","0.6498"
"33.0000","1.0984","0.6679"
"34.0000","1.1316","0.6858"
"35.0000","1.1650","0.7037"
"36.0000","1.1985","0.7215"
"37.0000","1.2318","0.7391"
"38.0000","1.2651","0.7563"
"39.0000","1.2985","0.7738"
"40.0000","1.3318","0.7908"
"41.0000","1.3651","0.8079"
"42.0000","1.3986","0.8248"
"43.0000","1.4318","0.8415"
"44.0000","1.4651","0.8578"
"45.0000","1.4985","0.8742"
"46.0000","1.5318","0.8903"
"47.0000","1.5653","0.9064"
"48.0000","1.5984","0.9221"
"49.0000","1.6318","0.9379"
"50.0000","1.6652","0.9535"
"51.0000","1.6985","0.9689"
"52.0000","1.7318","0.9841"
"53.0000","1.7650","0.9990"
"54.0000","1.7983","1.0138"
"55.0000","1.8318","1.0285"
"56.0000","1.8650","1.0430"
"57.0000","1.8984","1.0574"
"58.0000","1.9318","1.0716"
"59.0000","1.9651","1.0857"
"60.0000","1.9984","1.0994"
"61.0000","2.0317","1.1130"
"62.0000","2.0650","1.1265"
"63.0000","2.0984","1.1398"
"64.0000","2.1317","1.1527"
"65.0000","2.1651","1.1657"
"66.0000","2.1986","1.1784"
"67.0000","2.2318","1.1909"
"68.0000","2.2651","1.2033"
"69.0000","2.2985","1.2154"
"70.0000","2.3319","1.2271"
"71.0000","2.3652","1.2385"
"72.0000","2.3984","1.2497"
"73.0000","2.4318","1.2609"
"74.0000","2.4652","1.2718"
"75.0000","2.4986","1.2828"
"76.0000","2.5319","1.2934"
"77.0000","2.5651","1.3038"
"78.0000","2.5985","1.3141"
"79.0000","2.6318","1.3243"
"80.0000","2.6651","1.3344"
"81.0000","2.6983","1.3442"
"82.0000","2.7317","1.3540"
"83.0000","2.7650","1.3633"
"84.0000","2.7984","1.3727"
"85.0000","2.8319","1.3822"
"86.0000","2.8650","1.3909"
"87.0000","2.8984","1.4000"
"88.0000","2.9317","1.4087"
"89.0000","2.9650","1.4172"
"90.0000","2.9985","1.4257"
"91.0000","3.0316","1.4339"
"92.0000","3.0651","1.4421"
"93.0000","3.0985","1.4502"
"94.0000","3.1318","1.4579"
"95.0000","3.1652","1.4655"
"96.0000","3.1985","1.4730"
"97.0000","3.2318","1.4804"
"98.0000","3.2652","1.4875"
"99.0000","3.2985","1.4946"
"100.0000","3.3318","1.5016"
"101.0000","3.3652","1.5083"
"102.0000","3.3986","1.5150"
"103.0000","3.4318","1.5215"
"104.0000","3.4652","1.5280"
"105.0000","3.4984","1.5340"
"106.0000","3.5318","1.5401"
"107.0000","3.5651","1.5461"
"108.0000","3.5984","1.5520"
"109.0000","3.6318","1.5577"
"110.0000","3.6649","1.5631"
"111.0000","3.6983","1.5686"
"112.0000","3.7318","1.5740"
"113.0000","3.7651","1.5792"
"114.0000","3.7984","1.5843"
"115.0000","3.8317","1.5893"
"116.0000","3.8650","1.5941"
"117.0000","3.8985","1.5988"
"118.0000","3.9318","1.6035"
"119.0000","3.9651","1.6078"
"120.0000","3.9985","1.6124"
"121.0000","4.0318","1.6165"
"122.0000","4.0651","1.6207"
"123.0000","4.0986","1.6249"
"124.0000","4.1317","1.6287"
"125.0000","4.1652","1.6326"
"126.0000","4.1985","1.6361"
"127.0000","4.2318","1.6397"
"128.0000","4.2653","1.6434"
"129.0000","4.2984","1.6466"
"130.0000","4.3318","1.6498"
"131.0000","4.3651","1.6529"
"132.0000","4.3985","1.6559"
"133.0000","4.4318","1.6590"
"134.0000","4.4650","1.6616"
"135.0000","4.4983","1.6643"
"136.0000","4.5318","1.6669"
"137.0000","4.5650","1.6692"
"138.0000","4.5984","1.6717"
"139.0000","4.6317","1.6740"
"140.0000","4.6651","1.6762"
"141.0000","4.6984","1.6782"
"142.0000","4.7317","1.6802"
"143.0000","4.7650","1.6820"
"144.0000","4.7984","1.6838"
"145.0000","4.8317","1.6855"
"146.0000","4.8651","1.6870"
"147.0000","4.8986","1.6886"
"148.0000","4.9318","1.6900"
"149.0000","4.9651","1.6911"
"150.0000","4.9985","1.6926"
"151.0000","5.0318","1.6934"
"152.0000","5.0652","1.6945"
"153.0000","5.0984","1.6952"
"154.0000","5.1318","1.6959"
"155.0000","5.1653","1.6966"
"156.0000","5.1986","1.6972"
"157.0000","5.2318","1.6975"
"158.0000","5.2652","1.6978"
"159.0000","5.2984","1.6981"
"160.0000","5.3318","1.6982"
"161.0000","5.3651","1.6981"
"162.0000","5.3983","1.6981"
"163.0000","5.4318","1.6978"
"164.0000","5.4650","1.6975"
"165.0000","5.4984","1.6971"
"166.0000","5.5319","1.6967"
"167.0000","5.5650","1.6959"
"168.0000","5.5984","1.6952"
"169.0000","5.6317","1.6943"
"170.0000","5.6650","1.6934"
"171.0000","5.6985","1.6925"
"172.0000","5.7316","1.6913"
"173.0000","5.7651","1.6901"
"174.0000","5.7985","1.6890"
"175.0000","5.8318","1.6875"
"176.0000","5.8652","1.6860"
"177.0000","5.8985","1.6844"
"178.0000","5.9318","1.6829"
"179.0000","5.9652","1.6810"
"180.0000","5.9985","1.6793"
"180.0450","6.0000","1.6792"
"180.0460","6.0001","1.6791"
"181.0460","5.9702","1.6481"
"182.0460","5.9369","1.6197"
"183.0460","5.9035","1.5945"
"184.0460","5.8702","1.5713"
"185.0460","5.8368","1.5495"
"186.0460","5.8035","1.5289"
"187.0460","5.7703","1.5097"
"188.0460","5.7369","1.4908"
"189.0460","5.7036","1.4728"
"190.0460","5.6703","1.4552"
"191.0460","5.6369","1.4383"
"192.0460","5.6036","1.4219"
"193.0460","5.5703","1.4059"
"194.0460","5.5369","1.3900"
"195.0460","5.5037","1.3746"
"196.0460","5.4703","1.3595"
"197.0460","5.4369","1.3444"
"198.0460","5.4038","1.3299"
"199.0460","5.3703","1.3152"
"200.0460","5.3368","1.3007"
"201.0460","5.3036","1.2865"
"202.0460","5.2701","1.2725"
"203.0460","5.2369","1.2584"
"204.0460","5.2035","1.2448"
"205.0460","5.1701","1.2309"
"206.0460","5.1369","1.2174"
"207.0460","5.1035","1.2039"
"208.0460","5.0702","1.1904"
"209.0460","5.0369","1.1773"
"210.0460","5.0034","1.1639"
"211.0460","4.9702","1.1507"
"212.0460","4.9368","1.1376"
"213.0460","4.9035","1.1245"
"214.0460","4.8703","1.1115"
"215.0460","4.8369","1.0986"
"216.0460","4.8036","1.0859"
"217.0460","4.7704","1.0731"
"218.0460","4.7369","1.0602"
"219.0460","4.7036","1.0473"
"220.0460","4.6703","1.0349"
"221.0460","4.6369","1.0220"
"222.0460","4.6037","1.0096"
"223.0460","4.5702","0.9969"
"224.0460","4.5369","0.9845"
"225.0460","4.5038","0.9720"
"226.0460","4.4703","0.9596"
"227.0460","4.4369","0.9472"
"228.0460","4.4035","0.9348"
"229.0460","4.3702","0.9225"
"230.0460","4.3369","0.9102"
"231.0460","4.3035","0.8978"
"232.0460","4.2702","0.8857"
"233.0460","4.2369","0.8735"
"234.0460","4.2035","0.8614"
"235.0460","4.1701","0.8493"
"235.0530","4.1699","0.8492"

